station_code,samplingpoint_x,samplingpoint_y,station_altitude
DENW367,6.990946000000001,51.56805099999999,53
DEBW024,9.172792,48.899233,302
DEBY052,10.008293000000002,48.39707899999999,470
DEBY120,11.036096000000002,49.440478000000006,308
DEBW029,10.096292,48.847916999999995,424
DEBW022,7.802317000000001,48.57817799999999,136
DESN049,12.611125,50.431321999999994,896
DEST077,11.611464,52.127899,58
DEBB075,13.123698000000001,52.484168,39
DEBB067,12.885193999999998,52.608609,31
DESH057,10.105600000000004,54.347609999999996,30
DEHE018,8.451527,50.010325,90
DENW002,7.331408999999999,51.641377,56
DEBE032,13.225144000000002,52.473192000000004,50
DEBW112,8.904442,48.645608,466
DENI066,9.950223,52.150775,86
DETH117,11.056578000000002,50.993127,196
DEBB109,13.174949,52.089678,50
DEHE008,8.746343,50.12533199999999,100
DEBW098,8.47204,49.49256,101
DEBB032,14.638165999999998,52.146264,40
DETH091,10.448432,51.205226,220
DEHB002,8.916966,53.060045,7
DESN075,12.138053999999999,50.486138000000004,343
DEHE131,8.059909,50.386426,122
DEHE045,9.001980999999999,49.67250700000001,209
DENI029,7.2072600000000016,53.362350000000006,1
DEBB073,13.094617999999999,52.38886899999999,32
DEBW042,9.227769,48.678069,370
DEBY115,11.536512999999998,48.14960600000001,521
DEST029,11.738961999999999,51.803534,60
DETH011,12.437621,50.98775799999999,185
DETH013,10.317236,50.978291999999996,210
DESN077,12.334686,51.335872,113
DEST102,11.981314,51.494756,118
DEST066,12.663663,51.870852,71
DEHE049,9.49112,51.31207599999999,179
DEMV012,14.257407000000002,53.52045600000001,17
DEBB048,12.809481,52.93189,43
DETH081,11.010445999999998,50.972331,210
DEST133,11.98385,51.475778000000005,111
DEST104,11.891411999999999,51.83730599999999,72
DENI048,9.7155,52.359478,66
DESH053,10.67332,53.86223699999999,6
DENW133,7.46355,51.36281799999999,112
DEBY089,11.648036,48.173194,513
DEBW073,7.5679690000000015,47.81901899999998,223
DEUB004,7.908035000000001,47.91325599999999,1205
DEBW013,9.229745,48.8088,235
DEBW023,7.633270999999999,47.588152,275
DESN045,14.822845999999998,50.892377,230
DEST112,11.631919,52.13174200000001,56
DEBB045,14.538595,52.337336,56
DEBY088,12.538174,48.021657,488
DEBY121,12.188324,47.648459,469
DEST002,11.864763,52.268353999999995,47
DEBW004,8.40666,49.07655,109
DEBB029,14.285139000000001,53.064262,5
DEBB083,14.3764,51.5645,99
DEBE061,13.31825,52.463611,45
DEBW033,8.665536,48.88903899999999,278
DENW038,6.865050000000001,51.453459,39
DETH043,11.019353,50.984874,195
DEUB030,13.031661999999999,53.141303,65
DEBY056,10.984705,49.47221,293
DENW058,6.873817999999999,50.87617900000001,92
DENI068,9.928330000000004,51.5302,150
DESN084,13.731608,51.02629399999999,150
DENW188,6.863629,51.474934999999995,47
DEHE052,8.446079,50.221940999999994,811
DENW068,8.148023,51.570675,108
DEHB004,8.625456,53.180946,20
DENW082,6.782538000000001,51.213166,45
DESL012,6.987601,49.233464,192
DENI052,9.62295,52.82943,38
DEST089,11.172327000000001,52.593136,95
DEMV023,11.398332,53.63180500000001,58
DENW211,7.004605000000001,50.96283799999999,53
DETH027,11.134592999999999,50.49995499999999,840
DEMV004,12.064708,53.81777499999999,17
DENW329,6.4514830000000005,51.033834000000006,112
DEBY119,9.947654,49.79052599999999,198
DENW259,6.439945,51.169434,65
DEHE030,8.769324000000001,50.804258,182
DEHH068,10.053859,53.59230099999999,12
DEHH016,10.081685,53.52902,5
DENI058,7.213980000000001,53.715300000000006,5
DEMV021,12.080003,54.171330000000005,2
DENW079,7.004975999999999,51.028931,50
DESN059,12.297411,51.31790500000001,115
DENI157,10.793683,52.427886,61
DETH072,10.693092,50.61153,430
DERP016,7.973542,50.76681500000001,480
DEHE062,8.770508,50.80716699999999,190
DEHB013,8.69506,53.1177,4
DEMV028,11.47596,53.90226000000001,5
DENW206,7.084060000000001,51.17615,222
DENW040,6.762973,51.385256,35
DENW071,6.732353000000002,51.249214,38
DENW200,8.552790000000002,52.00562000000001,137
DENI041,9.06255,52.17017,54
DEBE069,13.387720000000002,52.438115,50
DENW080,7.0525730000000015,51.183782,208
DENI077,9.554620000000002,51.70884,295
DENW095,7.611583,51.936535,64
DENI031,8.090589999999999,53.59617,2
DETH036,12.205199,50.655861,265
DETH018,10.791404,51.49719499999999,185
DENW337,6.469462999999999,51.097638,83
DEST044,11.057442,51.896982,120
DESL006,6.7448559999999995,49.18361,221
DERP045,7.592242,50.359373,70
DERP013,7.293543,49.42311600000001,460
DEHE041,8.691911,50.12458899999999,119
DEST090,12.032141,51.321364,96
DENW029,7.208546000000001,51.40300699999999,95
DEBB053,14.015251999999998,52.56383499999998,88
DENI067,8.04147,52.2703,69
DESN061,13.741397000000001,51.06492999999999,112
DETH020,11.037924,50.979455,195
DENW136,7.483561999999999,51.523543,80
DEBB060,13.822211,52.832467,20
DERP007,8.216803,50.01755,115
DESL017,6.867744,49.254344,189
DEMV025,13.081009999999996,54.31923000000001,8
DEHE005,8.542517,50.10175,103
DENW078,6.819886999999999,51.303394,42
DEST028,12.141322,51.05455799999999,156
DEBW038,9.485675,47.66005599999999,404
DENW043,7.030533999999999,51.451176000000004,113
DERP041,8.44385,49.478497999999995,94
DEBY188,11.02792,49.32273,344
DENW181,8.360797,51.442993,315
DEMV031,12.09792,54.17729,2
DESN051,13.675004999999999,51.119514,246
DEBW087,9.207639,48.345778,798
DEHE050,9.271233,51.360755,489
DEBY028,11.879245,48.90951799999999,348
DEBW081,8.355628,49.02859400000001,114
DERP025,8.253538,49.05228399999999,115
DEHH081,9.981598999999996,53.529158,6
DEHE024,9.774588,51.291757000000004,610
DERP010,8.261131000000002,50.001026,85
DERP020,6.646717999999999,49.754231,140
DEBW059,9.657919,49.63484100000001,177
DEMV020,12.141994,54.09227799999999,1
DERP015,6.378081,50.26654699999999,680
DEHE112,8.228864999999999,50.072119,140
DEHE044,8.060998,50.383217,128
DEBW019,9.979030999999999,48.396836,481
DENI051,10.612479999999998,51.75816,939
DESL019,6.552037000000001,49.416884,339
DENW008,7.457408999999999,51.536893,71
DENW021,6.97688,51.525955,30
DESN020,14.973957999999998,51.155801000000004,210
DEBW015,9.224786,49.165508,157
DEBY111,11.570087999999998,49.943637,337
DESN091,12.486621000000001,50.720405,267
DENW074,6.469312,50.883484,105
DENI020,10.816380000000002,52.44081,66
DESL013,6.753639,49.32264600000001,181
DEBY072,12.548868999999998,49.438464,755
DEHE001,8.664619,49.872303,158
DEST105,11.850274,52.60205599999999,35
DEBW005,8.465281,49.544078000000006,94
DETH061,11.661233,50.79161599999998,357
DENW189,7.147378,51.26068399999999,158
DEBW099,9.180720000000004,48.78312999999999,244
DESN092,13.730204999999998,51.036105000000006,112
DENW065,8.191907,50.930329,641
DERP046,7.460718000000001,50.431439000000005,61
DEMV017,11.362964999999999,53.30235199999999,25
DENW024,6.980991,51.49654000000001,40
DESL010,6.948776,49.244247,211
DEST015,12.302866,51.651165999999996,75
DEHH026,9.957236,53.56063199999999,20
DESN024,12.468739,50.35478299999999,540
DESL030,7.165574999999999,49.39950300000001,260
DEST095,11.449471,51.759516,118
DESN083,12.903367,50.84574,327
DENI038,8.05286,52.25533999999999,95
DERP017,7.8264070000000014,49.27026300000001,600
DEBW052,9.169289,47.664361,403
DEBW136,9.058019999999999,48.52022999999999,340
DEBE063,13.441654000000002,52.46753399999999,40
DENW179,7.5822470000000015,51.44879699999999,118
DEMV026,13.342138000000002,54.32351400000001,17
DENW066,6.195834,51.32693399999999,47
DEHE043,8.516798,49.825165000000005,87
DENW081,6.874469,51.862041999999995,44
DETH005,11.368875,50.651182,210
DENI070,10.455910000000001,52.15368999999999,93
DETH009,12.0749,50.877922999999996,190
DEHB006,8.825173,53.07866299999999,5
DENI060,11.16705,52.95701999999999,16
